location_id,location_name,parameter,value,unit,datetimeutc,datetimelocal,latitude,longitude
6112507,aq_g520,pm25,36.59519999999996,µg/m³,2025-11-26 17:00:00+00:00,2025-11-26 20:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,55.12560000000013,µg/m³,2025-11-26 18:00:00+00:00,2025-11-26 21:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,67.65928641051406,µg/m³,2025-11-26 18:00:00+00:00,2025-11-26 21:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,65.14345289,µg/m³,2025-11-26 22:00:00+00:00,2025-11-27 01:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,51.10230000000015,µg/m³,2025-11-26 22:00:00+00:00,2025-11-27 01:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,49.49020000000002,µg/m³,2025-11-26 23:00:00+00:00,2025-11-27 02:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,65.27575909678959,µg/m³,2025-11-26 23:00:00+00:00,2025-11-27 02:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,56.043299999999874,µg/m³,2025-11-27 00:00:00+00:00,2025-11-27 03:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,71.18089050674308,µg/m³,2025-11-27 00:00:00+00:00,2025-11-27 03:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,63.002099999999885,µg/m³,2025-11-27 01:00:00+00:00,2025-11-27 04:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,83.07787706412893,µg/m³,2025-11-27 01:00:00+00:00,2025-11-27 04:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,95.17784306410933,µg/m³,2025-11-27 02:00:00+00:00,2025-11-27 05:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,67.75060000000006,µg/m³,2025-11-27 02:00:00+00:00,2025-11-27 05:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,108.50000000000011,µg/m³,2025-11-27 04:00:00+00:00,2025-11-27 07:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,177.7136723553301,µg/m³,2025-11-27 04:00:00+00:00,2025-11-27 07:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,32.33979999999995,µg/m³,2025-11-27 07:00:00+00:00,2025-11-27 10:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,41.19954395168739,µg/m³,2025-11-27 07:00:00+00:00,2025-11-27 10:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,15.696300000000036,µg/m³,2025-11-27 08:00:00+00:00,2025-11-27 11:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,24.45850962,µg/m³,2025-11-27 08:00:00+00:00,2025-11-27 11:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,14.4416,µg/m³,2025-11-27 09:00:00+00:00,2025-11-27 12:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,19.237405103694428,µg/m³,2025-11-27 09:00:00+00:00,2025-11-27 12:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,16.62570000000003,µg/m³,2025-11-27 10:00:00+00:00,2025-11-27 13:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,26.195843250247485,µg/m³,2025-11-27 10:00:00+00:00,2025-11-27 13:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,16.25300000000005,µg/m³,2025-11-27 12:00:00+00:00,2025-11-27 15:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,22.67591035344911,µg/m³,2025-11-27 12:00:00+00:00,2025-11-27 15:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,30.09129999999994,µg/m³,2025-11-27 15:00:00+00:00,2025-11-27 18:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,42.443132431266406,µg/m³,2025-11-27 15:00:00+00:00,2025-11-27 18:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,34.275299999999994,µg/m³,2025-11-27 16:00:00+00:00,2025-11-27 19:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,43.80495593002255,µg/m³,2025-11-27 16:00:00+00:00,2025-11-27 19:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,41.514700000000005,µg/m³,2025-11-27 17:00:00+00:00,2025-11-27 20:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,50.11801684584619,µg/m³,2025-11-27 17:00:00+00:00,2025-11-27 20:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,62.72719999999983,µg/m³,2025-11-27 18:00:00+00:00,2025-11-27 21:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,78.60211496874697,µg/m³,2025-11-27 18:00:00+00:00,2025-11-27 21:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm25,57.42050000000009,µg/m³,2025-11-27 20:00:00+00:00,2025-11-27 23:00:00+03:00,0.30991,32.60045
6112507,aq_g520,pm10,70.79496746116789,µg/m³,2025-11-27 20:00:00+00:00,2025-11-27 23:00:00+03:00,0.30991,32.60045
